,NN,NNS,NNP,NNPS,VB,VBD,VBG,VBN,VBP,VBZ,RB,RBR,RBS,JJ,JJR,JJS,PRP,PRP$,WP,WP$,CC,CD,DT,EX,FW,IN,LS,MD,PDT,POS,RP,SYM,TO,UH,WDT,WRB
Insertion,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deletion,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NN,0,1,1,1,10,10,10,10,10,10,8,8,8,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
NNS,1,0,1,1,10,10,10,10,10,10,8,8,8,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
NNP,1,1,0,1,10,10,10,10,10,10,8,8,8,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
NNPS,1,1,1,0,10,10,10,10,10,10,8,8,8,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VB,10,10,10,10,0,1,1,1,1,1,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VBD,10,10,10,10,1,0,1,1,1,1,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VBG,10,10,10,10,1,1,0,1,1,1,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VBN,10,10,10,10,1,1,1,0,1,1,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VBP,10,10,10,10,1,1,1,1,0,1,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
VBZ,10,10,10,10,1,1,1,1,1,0,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
RB,8,8,8,8,8,8,8,8,8,8,0,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
RBR,8,8,8,8,8,8,8,8,8,8,1,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
RBS,8,8,8,8,8,8,8,8,8,8,1,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
JJ,5,5,5,5,8,8,8,8,8,8,8,8,8,0,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
JJR,5,5,5,5,8,8,8,8,8,8,8,8,8,1,0,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
JJS,5,5,5,5,8,8,8,8,8,8,8,8,8,1,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
PRP,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PRP$,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
WP,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
WP$,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CC,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CD,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DT,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
EX,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2
FW,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2
IN,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
LS,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
MD,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
PDT,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
POS,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
RP,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2
SYM,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
TO,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
UH,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
